media,spend,roi,contribution
clm_call,1516306.0,-0.16928362267416508,-12462.61071702868
clm_call,1866222.7692307692,-0.11056087755761633,-10017.796211460505
clm_call,2216139.5384615385,-0.07628915594288085,-8208.563152602821
clm_call,2566056.307692308,-0.05467572177334603,-6811.894898920077
clm_call,2915973.076923077,-0.04025658968547934,-5699.381425452585
clm_call,3265889.846153846,-0.030217274414725333,-4791.417920329062
clm_call,3615806.6153846155,-0.02298911521575894,-4035.8469064874002
clm_call,3965723.384615385,-0.017642655394444023,-3396.984781906483
clm_call,4315640.153846154,-0.013599544539194453,-2849.553535889834
clm_call,4665556.923076923,-0.010485175336554681,-2375.124729547708
clm_call,5015473.692307692,-0.008048640869645376,-1959.9353140766295
clm_call,5365390.461538462,-0.006117042616954752,-1593.4926726175772
clm_call,5715307.230769231,-0.004568292134494311,-1267.6538549331713
clm_call,6065224.0,-0.003314331288980356,-976.0003948245746
clm_call,6415140.76923077,-0.0022904545817457023,-713.4032883132257
clm_call,6765057.538461539,-0.00144832806716463,-475.7137160501757
clm_call,7114974.307692308,-0.0007513148362477041,-259.538943766238
clm_call,7464891.076923077,-0.0001712778428844165,-62.0771673835698
clm_call,7814807.846153846,0.00031364875153372265,119.00606597077572
clm_call,8164724.615384616,0.0007206398965321277,285.6716051684553
clm_call,8514641.384615384,0.0010633177177079203,439.5787031952104
clm_call,8864558.153846154,0.0013525827109547518,582.1409590796166
clm_call,9214474.923076924,0.001597228667282284,714.5702327006729
clm_call,9564391.692307692,0.0018044029959960561,837.9114495094638
clm_call,9914308.461538462,0.00197995507598565,953.070429536904
clm_call,10264225.230769232,0.002128702527392799,1060.836321303699
clm_call,10614142.0,0.0022546366419080375,1161.8998242595922
clm_call,10964058.76923077,0.0023610822461451486,1256.8680952474622
clm_call,11313975.53846154,0.00245082310840509,1346.2770230601716
clm_call,11663892.307692308,0.0025262010557083195,1430.6013983152664
clm_call,12013809.076923078,0.0025891948636375837,1510.2633884118154
clm_call,12363725.846153846,0.0026414834609489925,1585.6396385317616
clm_call,12713642.615384616,0.002684496881175357,1657.0672519520117
clm_call,13063559.384615386,0.0027194575759558874,1724.848850915541
clm_call,13413476.153846154,0.0027474140972194765,1789.2568789822158
clm_call,13763392.923076924,0.002769268700124772,1850.5372743762405
clm_call,14113309.692307692,0.0027858000747846964,1908.912619137723
clm_call,14463226.461538462,0.0027976821532329234,1964.5848493934443
clm_call,14813143.230769232,0.0028054997376191,2017.7375965179315
clm_call,15163060.0,0.0028097615411095084,2068.5382165956103
email_1to1,2293.8,-0.39492617560592286,-43.982377296650235
email_1to1,2823.138461538462,-0.24651425671876565,-33.78947558058012
email_1to1,3352.4769230769234,-0.1644966148077564,-26.775031705869722
email_1to1,3881.8153846153846,-0.11488761218643084,-21.652862191255114
email_1to1,4411.153846153846,-0.08286979978821842,-17.74825770715025
email_1to1,4940.492307692308,-0.06117125964972702,-14.673201543936369
email_1to1,5469.830769230769,-0.04589621689194177,-12.188717484607112
email_1to1,5999.16923076923,-0.034811409252249896,-10.139579620389572
email_1to1,6528.507692307692,-0.026565673013792576,-8.420579388215891
email_1to1,7057.846153846153,-0.0203047482330155,-6.957881500648504
email_1to1,7587.184615384615,-0.015468396532082894,-5.698140848788378
email_1to1,8116.523076923077,-0.011677657814531027,-4.601855787528228
email_1to1,8645.861538461537,-0.008669310976396154,-3.639151112483447
email_1to1,9175.2,-0.0062562829736584145,-2.7870140316627503
email_1to1,9704.538461538461,-0.004302926400593109,-2.0274307777374148
email_1to1,10233.876923076923,-0.0027091285816818566,-1.3460991176202421
email_1to1,10763.215384615385,-0.0013998339114764287,-0.7315192735421737
email_1to1,11292.553846153845,-0.0003179776330349565,-0.1743395714242094
email_1to1,11821.892307692306,0.000580376825466476,0.33312275012630166
email_1to1,12351.23076923077,0.0013294453578221192,0.7972379426486897
email_1to1,12880.56923076923,0.0019561503889029266,1.2233325410488123
