media,exposure,response
clm_call,0.0,0.0
clm_call,0.10204081632653061,0.09037651247634401
clm_call,0.20408163265306123,0.1657712018596049
clm_call,0.30612244897959184,0.22962425816346815
clm_call,0.40816326530612246,0.2843974899966158
clm_call,0.5102040816326531,0.3318990484200387
clm_call,0.6122448979591837,0.3734868707070377
clm_call,0.7142857142857143,0.4102005931737702
clm_call,0.8163265306122449,0.4428496508465851
clm_call,0.9183673469387755,0.47207365077496266
clm_call,1.0204081632653061,0.49838469186347556
clm_call,1.1224489795918369,0.5221976305314003
clm_call,1.2244897959183674,0.5438521163508111
clm_call,1.3265306122448979,0.5636288954128178
clm_call,1.4285714285714286,0.5817620488310542
clm_call,1.5306122448979593,0.5984483016005165
clm_call,1.6326530612244898,0.613854188600656
clm_call,1.7346938775510203,0.6281216319673327
clm_call,1.836734693877551,0.6413723260740967
clm_call,1.9387755102040818,0.6537112172993245
clm_call,2.0408163265306123,0.6652292893404514
clm_call,2.142857142857143,0.6760058105600307
clm_call,2.2448979591836737,0.6861101608062558
clm_call,2.3469387755102042,0.6956033267354569
clm_call,2.4489795918367347,0.7045391337562944
clm_call,2.5510204081632653,0.7129652671739297
clm_call,2.6530612244897958,0.7209241234493977
clm_call,2.7551020408163267,0.7284535236583357
clm_call,2.857142857142857,0.7355873144901726
clm_call,2.9591836734693877,0.7423558769393288
clm_call,3.0612244897959187,0.7487865588161893
clm_call,3.163265306122449,0.7549040440636995
clm_call,3.2653061224489797,0.7607306693957498
clm_call,3.36734693877551,0.7662866968199636
clm_call,3.4693877551020407,0.7715905490529538
clm_call,3.5714285714285716,0.7766590135920289
clm_call,3.673469387755102,0.7815074202063075
clm_call,3.7755102040816326,0.7861497958005982
clm_call,3.8775510204081636,0.7905989999474035
clm_call,3.979591836734694,0.7948668438450909
clm_call,4.081632653061225,0.7989641950195692
clm_call,4.183673469387755,0.8029010697237536
clm_call,4.285714285714286,0.8066867146888305
clm_call,4.387755102040816,0.8103296796319654
clm_call,4.4897959183673475,0.8138378817172598
clm_call,4.591836734693878,0.8172186629928807
clm_call,4.6938775510204085,0.8204788416813278
clm_call,4.795918367346939,0.8236247580768574
clm_call,4.8979591836734695,0.8266623157001984
clm_call,5.0,0.8295970182726352
email_1to1,0.0,0.0
email_1to1,0.10204081632653061,0.09158955057791443
email_1to1,0.20408163265306123,0.16780950409322745
email_1to1,0.30612244897959184,0.2322291286799489
email_1to1,0.40816326530612246,0.28739191367264477
email_1to1,0.5102040816326531,0.3351593689815734
email_1to1,0.6122448979591837,0.3769252378065907
email_1to1,0.7142857142857143,0.4137537396555187
email_1to1,0.8163265306122449,0.44647152218438146
email_1to1,0.9183673469387755,0.4757304501774081
email_1to1,1.0204081632653061,0.5020514805468124
email_1to1,1.1224489795918369,0.525855952643587
email_1to1,1.2244897959183674,0.5474883130285617
email_1to1,1.3265306122448979,0.5672328909030402
email_1to1,1.4285714285714286,0.585326465352213
email_1to1,1.5306122448979593,0.6019678065581903
email_1to1,1.6326530612244898,0.6173250082520045
email_1to1,1.7346938775510203,0.631541185784872
email_1to1,1.836734693877551,0.6447389496099604
email_1to1,1.9387755102040818,0.6570239506005803
email_1to1,2.0408163265306123,0.6684877143678774
email_1to1,2.142857142857143,0.6792099255508964
email_1to1,2.2448979591836737,0.6892602827056213
email_1to1,2.3469387755102042,0.6987000151041889
email_1to1,2.4489795918367347,0.7075831312187193
email_1to1,2.5510204081632653,0.7159574526784332
email_1to1,2.6530612244897958,0.7238654755084937
email_1to1,2.7551020408163267,0.7313450913993363
email_1to1,2.857142857142857,0.7384301948459185
email_1to1,2.9591836734693877,0.7451511966847865
email_1to1,3.0612244897959187,0.7515354604428804
email_1to1,3.163265306122449,0.7576076747028802
email_1to1,3.2653061224489797,0.7633901721697928
email_1to1,3.36734693877551,0.7689032041318452
email_1to1,3.4693877551020407,0.7741651774252475
email_1to1,3.5714285714285716,0.7791928597461699
email_1to1,3.673469387755102,0.7840015581352363
email_1to1,3.7755102040816326,0.7886052746370725
email_1to1,3.8775510204081636,0.7930168424692293
email_1to1,3.979591836734694,0.7972480454895025
email_1to1,4.081632653061225,0.8013097233037048
email_1to1,4.183673469387755,0.8052118639879708
email_1to1,4.285714285714286,0.8089636860954937
email_1to1,4.387755102040816,0.8125737113651426
email_1to1,4.4897959183673475,0.8160498293391004
email_1to1,4.591836734693878,0.8193993549208141
email_1to1,4.6938775510204085,0.8226290797570099
email_1to1,4.795918367346939,0.8257453182033092
email_1to1,4.8979591836734695,0.8287539485280698
email_1to1,5.0,0.8316604499201964
mass_email,0.0,0.0
mass_email,0.10204081632653061,0.09159759820226046
mass_email,0.20408163265306123,0.1678230116173057
mass_email,0.30612244897959184,0.23224637442901933
mass_email,0.40816326530612246,0.2874117224062735
mass_email,0.5102040816326531,0.33518092151523776
mass_email,0.6122448979591837,0.37694795334518116
mass_email,0.7142857142857143,0.413777200742576
mass_email,0.8163265306122449,0.4464954255179197
mass_email,0.9183673469387755,0.4757545736094298
mass_email,1.0204081632653061,0.5020756604803127
mass_email,1.1224489795918369,0.5258800682674621
mass_email,1.2244897959183674,0.5475122751436134
mass_email,1.3265306122448979,0.5672566338880517
mass_email,1.4285714285714286,0.5853499413135855
mass_email,1.5306122448979593,0.6019909810208515
mass_email,1.6326530612244898,0.6173478569530234
mass_email,1.7346938775510203,0.6315636922657379
mass_email,1.836734693877551,0.6447611033937979
mass_email,1.9387755102040818,0.6570457458021427
mass_email,2.0408163265306123,0.6685091486267288
mass_email,2.142857142857143,0.6792309992079943
mass_email,2.2448979591836737,0.6892809981646394
mass_email,2.3469387755102042,0.6987203763340544
mass_email,2.4489795918367347,0.7076031433647955
mass_email,2.5510204081632653,0.7159771217577833
mass_email,2.6530612244897958,0.7238848081705687
mass_email,2.7551020408163267,0.7313640947378164
mass_email,2.857142857142857,0.7384488762507255
mass_email,2.9591836734693877,0.745169563725768
mass_email,3.0612244897959187,0.7515535207785492
mass_email,3.163265306122449,0.757625436009035
mass_email,3.2653061224489797,0.763407642083956
mass_email,3.36734693877551,0.7689203902103069
mass_email,3.4693877551020407,0.7741820871101772
mass_email,3.5714285714285716,0.7792095003407735
mass_email,3.673469387755102,0.7840179367853467
mass_email,3.7755102040816326,0.7886213983178851
mass_email,3.8775510204081636,0.7930327179761474
mass_email,3.979591836734694,0.7972636794322611
mass_email,4.081632653061225,0.8013251221031029
mass_email,4.183673469387755,0.805227033874672
mass_email,4.285714285714286,0.8089786331104563
mass_email,4.387755102040816,0.8125884413613279
mass_email,4.4897959183673475,0.8160643479841726
mass_email,4.591836734693878,0.8194136677005991
mass_email,4.6938775510204085,0.8226431919795264
mass_email,4.795918367346939,0.8257592350032199
mass_email,4.8979591836734695,0.8287676748714324
mass_email,5.0,0.8316739906094122
non_clm_call,0.0,0.0
non_clm_call,0.10204081632653061,0.08996872267477159
non_clm_call,0.20408163265306123,0.1650849621702709
non_clm_call,0.30612244897959184,0.2287461670854577
non_clm_call,0.40816326530612246,0.2833869932760228
non_clm_call,0.5102040816326531,0.3307977935695259
non_clm_call,0.6122448979591837,0.3723245259483259
non_clm_call,0.7142857142857143,0.4089985798785753
non_clm_call,0.8163265306122449,0.44162360186094496
non_clm_call,0.9183673469387755,0.4708350673053353
non_clm_call,1.0204081632653061,0.4971420829940589
non_clm_call,1.1224489795918369,0.5209573110183978
non_clm_call,1.2244897959183674,0.5426187740702749
non_clm_call,1.3265306122448979,0.5624060006907494
non_clm_call,1.4285714285714286,0.5805521534504627
non_clm_call,1.5306122448979593,0.5972532596919616
non_clm_call,1.6326530612244898,0.6126753214790149
non_clm_call,1.7346938775510203,0.6269598522567147
non_clm_call,1.836734693877551,0.6402282319362095
non_clm_call,1.9387755102040818,0.6525851644856411
non_clm_call,2.0408163265306123,0.6641214466429927
non_clm_call,2.142857142857143,0.6749162027291775
non_clm_call,2.2448979591836737,0.6850387019338194
non_clm_call,2.3469387755102042,0.6945498463326276
non_clm_call,2.4489795918367347,0.7035033971984521
